#############################################;;;;;;;;;;;;;;x
weihaiwei_treaty_port_title;The Weihaiwei Treaty Port;;;;;;;;;;;;;x
weihaiwei_treaty_port_desc;The port of Weihaiwei serves as the base for the Beiyang Fleet (Northern Seas Fleet) for the Qing Dynasty. Along with Lushun, it provides a strategic point for the control of the Korea Bay and the Bohai Gulf. Controlling it would put our fleets at the door of the imperial capital of China.;;;;;;;;;;;;;x
lushun_treaty_port_title;The Lushun Treaty Port;;;;;;;;;;;;;x
lushun_treaty_port_desc;Sprawling around the narrowest neck of the Liaodong Peninsula, occupying the Southern Tip, Lushun, also known as Port Arthur, is in a crucial point. It guards the entrance the Imperial Capital of China and the Bohai Sea. Controlling it would provide a strategical hold on the Bohai Gulf and the Korean Bay.;;;;;;;;;;;;;x
qingdao_treaty_port_title;The Qingdao Treaty Port;;;;;;;;;;;;;x
qingdao_treaty_port_desc;Qingdao is a sleepy fishing town undergoing dramatic changes - a naval station and garrisons were built by the rulers of the Qing dynasty and the increasing presence of western ships is increasing its importance. It would be an splendid gateway to northern China.;;;;;;;;;;;;;x
shanghai_treaty_port_title;The Shanghai Treaty Port;;;;;;;;;;;;;x
shanghai_treaty_port_desc;For centuries a major administrative, shipping, and trading town, Shanghai grew in importance in the 19th century due to European recognition of its favorable port location and economic potential. This potential can be fully realized under $COUNTRY_ADJ$ administration.;;;;;;;;;;;;;x
hong_kong_treaty_port_title;The Hong Kong Treaty Port;;;;;;;;;;;;;x
hong_kong_treaty_port_desc;China is the main supplier of its native tea to Europe, whose annual domestic consumption reached 30,046,935 pounds (13,629,060 kg) in 1830, an average of 1.036 pounds (0.470 kg) per head of population. From the $COUNTRY_ADJ$ economic standpoint, Chinese tea was a crucial item since it provides massive wealth for the taipans — foreign (especially $COUNTRY_ADJ$) businessmen in China — while the duty on tea accounted for 10% of the government's income. With a base in Hong Kong our tea and opium trade will profit immensely and the city will, without a doubt, bring us a lot of profit.;;;;;;;;;;;;;x
macao_treaty_port_title;The Macao Treaty Port;;;;;;;;;;;;;x
macao_treaty_port_desc;Macao lies on the western side of the Pearl River Delta across from Hong Kong. If we are to access the riches of Guangdong and the south of China, controlling Macao would be a good start.;;;;;;;;;;;;;x
unite_moldavia_wallachia_title;Union of Wallachia and Moldavia;;;;;;;;;;;;;x
unite_moldavia_wallachia_desc;With the independence of both Romanian dutchies, it is at last time to form a united Romanian nation!;;;;;;;;;;;;;x
institute_monarchy_SPA_title;Reinstitute the Monarchy;;;;;;;;;;;;;x
institute_monarchy_SPA_desc;The Spanish Junta needs a figure to rally behind, only the Bourbon kings have to ability to do so. We must reinstate the monarchy so we might have a unifiying figure to lead us to victory!;;;;;;;;;;;;;x
rhenish;Rhenish;;;;;;;;;x;;;;;;;;
integrate_rhenish_title;Integrate the Rhenish Germans;;;;;;;;;;;;;x
integrate_rhenish_desc;The Germans of the Rhine have been a part of France for 100 years, it is time that all parts of the Natural Borders of France are given equal rights in the nation.;;;;;;;;;;;;;x
an_end_to_slavery_title;An End To Slavery;;;;;;;;;;;;;x
an_end_to_slavery_desc;Although many in our nation still view African Americans as racially inferior, the practice of slavery is a detriment to the Confederacy and must be ended.;;;;;;;;;;;;;x
afro_conscription_title;African American Conscription;;;;;;;;;;;;;x
afro_conscription_desc;Afro American conscription has remained a controversial topic in the Confederacy for year. While manpower remains scarce in the nation, arming former and current slaves could result in disaterious consequences for the nation. If the Confederate Army stands a chance against the Yankees, we will need to conscript slaves into the army.;;;;;;;;;;;;;x
cores_for_NSA_title;Legitimize Our Claim to Spain;;;;;;;;;;;;;x
cores_for_NSA_desc;It has been sixty years since the Bonaparte dynasty has taken control of Spain, over this time period we have gained enough legitimacy to seen as the legitimate government of Spain.;;;;;;;;;;;;;x
GC_is_united_title;Realize Bolivar's Dream;;;;;;;;;;;;;x
GC_is_united_desc;Although Gran Colombia has been a nation for decades, many of our citizens have rejected federalization and have called themselves Venezuelans, Colombians, and Ecuadorians instead of Gran Colombians, at last we have been able to realize Bolivar's dream and created a united identity in Gran Colombia!;;;;;;;;;;;;;x
santo_domingo_is_back_title;Reclaimation of Santo Domingo;;;;;;;;;;;;;x
santo_domingo_is_back_desc;During the Napoleonic Wars and the occupation of our homeland, Haiti took the advantage of our weakness to steal Santo Domingo from us before we could crush the Independence Rebels. Now that we have at last reclaimed the colony, we should raise the province to equal status as the rest of our colonies.;;;;;;;;;;;;;x
remove_sweden_cores_title;Remove Sweden Cores;;;;;;;;;;;;;x
remove_sweden_cores_desc;Removes Swedish cores.;;;;;;;;;;;;;x
remove_denmark_norway_cores_title;Remove Danish Cores;;;;;;;;;;;;;x
remove_denmark_norway_cores_desc;Removes Danish cores.;;;;;;;;;;;;;x
remove_italian_minors_cores_title;Remove Italian Minor Cores;;;;;;;;;;;;;x
remove_italian_minors_cores_desc;Removes Italian minor cores.;;;;;;;;;;;;;x
annex_EIC_title;Annex East India Company;;;;;;;;;;;;;x
annex_EIC_desc;Annex the East India Company.;;;;;;;;;;;;;x
remove_german_minors_cores_title;Remove German Minors Cores;;;;;;;;;;;;;x
remove_german_minors_cores_desc;Remove German minor cores.;;;;;;;;;;;;;x
remove_prussia_cores_title;Remove Prussian Cores;;;;;;;;;;;;;x
remove_prussia_cores_desc;Remove Prussian cores.;;;;;;;;;;;;;x
remove_NGF_cores_title;Remove NGF Cores;;;;;;;;;;;;;x
remove_NGF_cores_desc;Removes NGF cores.;;;;;;;;;;;;;x
portugese_cores_for_NSA_title;The New King of Portugal;;;;;;;;;;;;;x
portugese_cores_for_NSA_desc;Portugal has been brought under firm control of the Bonepartes at last! The former kingdoms made after the end of the Peninsular war were too weak, now Portugal shall be ruled directly from Madrid. Despite being occupied by a foreign power, many Portugese nationalists would prefer to be ruled from closer Madrid than far away Rio de Janeiro.;;;;;;;;;;;;;x
annexation_of_neuchatel_title;Annexation of Neuchatel;;;;;;;;;;;;;x
annexation_of_neuchatel_desc;In 1707 Neuchâtel became a possession of Frederick the Great of Prussia by virtue of his maternal ties to the House of Orange-Nassau, and the principality thus effectively entered a personal union with the Kingdom of Prussia and the Hohenzollern family. During the Napoleonic wars, Prussia ceded Neuchatel after the country's defeat at the hands of Napoleon. After the Napoleonic wars, Neuchâtel was a duchy under the firm protection of the French Empire. After the era of nationalism, the French speakers of Neuchatel desired to join France.;;;;;;;;;;;;;x
spanish_USCA_title;Captaincy General of Guatemala;;;;;;;;;;;;;x
spanish_USCA_desc;The Captaincy General of Guatemala was the administrative colonial district in Central America under the viceroyalty of New Spain. The USCA split off from Mexico in 1823 and has been an unstable region ever since. If we were to restore peace and order to the region, the people would happily rejoin the Spanish Empire.;;;;;;;;;;;;;x
inspire_dutch_nationalism_title;Inspire Dutch Nationalism;;;;;;;;;;;;;x
inspire_dutch_nationalism_desc;With a foothold on the continent, it is time to remind all Dutchmen that freedom from France is not a choice, but our destiny.;;;;;;;;;;;;;x
reverse_bolivarian_conquests_title;Reverse the Bolivarian Conquests;;;;;;;;;;;;;x
reverse_bolivarian_conquests_desc;Our dominion over Colombia weakened after Napoleon's invasion, and with the traitorous rebellion of Bolivar, Colombia has fallen out of control of the empire. A firm reconquest of Colombia will bring back glory to the empire;;;;;;;;;;;;;x
reclaim_gran_colombia_title;Reclaim Gran Colombia;;;;;;;;;;;;;x
reclaim_gran_colombia_desc;With the rebellious Gran Colombia firmly under our control, it is time to reinstate Spanish administration over the colony.;;;;;;;;;;;;;x
integrate_new_england_title;Integrate New England;;;;;;;;;;;;;x
integrate_new_england_desc;With our control of New England after the War of 1812, a puppet government serving under the Crown was installed as a buffer with the Americans. With our control over Canada more firm, we no longer need this buffer and can integrate into the Empire..;;;;;;;;;;;;;x
empire_conquest_scotland_title;Return to Scotland;;;;;;;;;;;;;x
empire_conquest_scotland_desc;Our return to Scotland has emboldened our supporters in the North, and many in Northern Britain yearn for the return of the crown.;;;;;;;;;;;;;x
empire_conquest_england_title;Return to England;;;;;;;;;;;;;x
empire_conquest_england_desc;Our return to England has emboldened our supporters in the South, and many in Southern Britain yearn for the return of the crown.;;;;;;;;;;;;;x
union_conquest_canada_title;Capture of Canada;;;;;;;;;;;;;x
union_conquest_canada_desc;Our capture of the largest cities in Canada have dealt a severe blow to the supporters of the Crown, and opens up the rest of Canada to our forces.;;;;;;;;;;;;;x
union_conquest_australia_title;Capture of Australia;;;;;;;;;;;;;x
union_conquest_australia_desc;Our capture of the largest cities in Australia have dealt a severe blow to the supporters of the Crown, and opens up the rest of Australia to our forces.;;;;;;;;;;;;;x
empire_conquest_union_title;The Empire Strikes Back;;;;;;;;;;;;;x
empire_conquest_union_desc;With Scotland and England secured, our foothold in Britain is insurmountable. With the Unionists on the backfoot, we must take the decisive strike and crush the traitors once and for all.;;;;;;;;;;;;;x
union_conquest_empire_title;Realize Cromwell's Dream;;;;;;;;;;;;;x
union_conquest_empire_desc;Everywhere around the world, the Monarchists flee and the ideals of liberty and the Republic spread. It is time we enact one more Cruel Necessity and rid the world of the Monarchy for good.;;;;;;;;;;;;;x
empire_absorbs_union_title;The Reunification of the British Dominions;The Reunification of the British Dominions;The Reunification of the British Dominions;;The Reunification of the British Dominions;;;;;;;;;x;;;;
empire_absorbs_union_desc;Our once disloyal subjects on the British Isles have re-embraced the principles of monarchy at long last. While opinion is divided as to who their new monarch should be, the throne currently being occupied by a regent, our spies tell us many are pushing for the House of Hanover to be made sovereign once more.;;;;;;;;;x;;;;;;;;
union_absorbs_empire_title;The Reunification of the British People;The Reunification of the British People;The Reunification of the British People;;The Reunification of the British People;;;;;;;;;x;;;;
union_absorbs_empire_desc;Our brothers in the former British colonies have at long last overthrown the corrupt monarchy and embraced the principles of democracy. While opinion in the new republic is divided as to whether they should remain independent or rejoin our nation, our spies tell us many are pushing for the absorption by the British Union.;;;;;;;;;x;;;;;;;;
form_federation_title;Equality for the Commonwealth;Equality for the Commonwealth;Equality for the Commonwealth;;Equality for the Commonwealth;;;;;;;;;x;;;;
form_federation_desc;After the momentous reunifcation or our divided people, many in our nation are calling upon us to recognize this event by establishing a new order that will bring together the partisans of the Union and the Empire and will ensure stability and properity for all places where our nation touches. Many believe that the perfect symbol of a peaceful Britain would be the extension of rights to many of the races that live under our rule, as new ideologies about Britain's mission to civlize the world, combined with the technological wonders shrinking the size of the earth every day, have led many to believe that an Imperial Federation where all people are treated equally and share a common goal must be our nation's future.;;;;;;;;;x;;;;;;;;
mechanize_YFE_title;Mechanize the York Factory Express;;;;;;;;;x;;;;;;;;
mechanize_YFE_desc;The York Factory Express was a term for the 2,600 mile-long route taken by the Hudson's Bay Company each year to pick up the furs collected yearly in the Western regions of North America and bring them back to York Factory. With recent inventions offering a promise of rapid transportation, if we build a railroad from York Factory to the Rockies, the amount of furs we can yearly collect will increase many times over!;;;;;;;;;x;;;;;;;;
quell_tensions_saf_title;Quell Tensions in South Africa;;;;;;;;;;;;;x
quell_tensions_saf_desc;Although South Africa was returned to the Dutch Republic from Britain with a mix of force and diplomacy, the local populace has not been eager to see our return. Despite the influx of nationalist refugee, our effective influence is limited to Cape Town, and the countryside filled with wary tribes ready to rebel. In order to quell any African rebellion, we must shave our pride and make treaties with these tribes protecting their land from settlement and granting them more rights. This will naturally upset the Boers, but we are here to restore our homeland, not confine ourselves to Africa.;;;;;;;;;;;;;x
invite_natives_title;A Common Home;;;;;;;;;x;;;;;;;;
invite_natives_desc;The Native Confederation was founded at the end of the War of 1812 as a buffer state to protect the British Empire's Canadian Dominion from the ambitious Confederate States of America. While the nation was established with the nominal purpose of providing natives with a place to live in peace, few took this seriously, and only the natives who lived in the area became common citizens. However, now that the Confederate States has begun agressively persecuting our bretheren, we might be able to convince many of them to settle here if we have the bureaucracy and capital to handle a mass immigration.;;;;;;;;;x;;;;;;;;
move_home_SPA_title;The Return to Madrid;;;;;;;;;x;;;;;;;;
move_home_SPA_desc;At long last, our nation has rightfully reclaimed our ancient homeland. Let us cement our return to Iberia by moving the center of our government and administration to the city of Madrid.;;;;;;;;;x;;;;;;;;
attempt_annex_NSA_title;The Reunification of Spain;;;;;;;;;x;;;;;;;;
attempt_annex_NSA_desc;Now that the French have lost their puppet state in Iberia, calls are echoing from all over Europe for our return. If we send a delegation to meet with the interim government on the peninsula, it is very likely they will give in to public pressure and hand our homeland over to us.;;;;;;;;;x;;;;;;;;
become_cuba_title;A New World and a New Destiny;;;;;;;;;x;;;;;;;;
become_cuba_desc;As the years go by and our chances of regaining Spain and putting a king back on our throne grow ever dimmer, many on the island of Cuba are beginning to question exactly what the destiny of our nation is. Calls for an abandonment of the Old World and an embracing of the New grow ever louder, as do calls for a truly representative republic instead of a restoration of the monarchy. If we so wish, we can formally abandon our claim to Spain and become a new nation: the Island Republic of Cuba.;;;;;;;;;x;;;;;;;;
spanish_resto_title;The Claim to Spain;;;;;;;;;x;;;;;;;;
spanish_resto_desc;When Napoleon invaded Spain and put his brother on the throne, few accepted him as the legitimate king. However, the true heir and his family were kept imprisoned by Napoleon until they died childless. As a result, the closest living relative happens to be the King of Sicily, due to a claim from Charles III of Spain. As our king is now the heir to the Spanish throne, we can send a delegation to the Cubano Cortes to make our claim.;;;;;;;;;x;;;;;;;;
move_home_title;Home at Last;Home at Last;Home at Last;;Home at Last;;;;;;;;;x;;;;
move_home_desc;Since the French Revolutionaries defeated the Dutch Republic and drove us into exile, the top goal of our policy has been to return the legitimate government of our nation to its ancient homeland. If we can drive the French completely out of Holland, we can return to the Dutch lands and make Amsterdam our capital once more, as it rightfully should be.;;;;;;;;;x;;;;;;;;
accept_java_title;Honorary Dutchmen;Honorary Dutchmen;Honorary Dutchmen;;Honorary Dutchmen;;;;;;;;;x;;;;
accept_java_desc;Since our government has been sent into exile, our reserves of Dutch citizens have been too few to effectively run our nation. As such, we have been forced to use our colonial population to run the government, educate the populace, and fight our wars. Among them, the Javan people are the most numerous and the most loyal. Let us recognize their contributions by making all Javans honorary Dutch citizens.;;;;;;;;;x;;;;;;;;
institute_monarchy_title;Long Live the King!;Long Live the King!;Long Live the King!;;Long Live the King!;;;;;;;;;x;;;;
institute_monarchy_desc;The Princes of the House of Orange have been the hereditary Stadtholders of the Dutch Republic for centuries, occupying a curiously monarchical position in the republican government. They have kept our nation strong and united since we chose to give them command of the Dutch armies, and William of Orange, the current Stadtholder, has perhaps done the most. Through his efforts, we have held our nation together in exile and held on to the hope of reclaiming our homeland. To strengthen the executive branch, let us officially make the House of Orange hereditary monarchs of our nation.;;;;;;;;;x;;;;;;;;
move_capital_title;The Return to London;;;;;;;;;x;;;;;;;;
move_capital_desc;At long last, our nation has rightfully reclaimed our island home. Let us cement our return to Britain by moving the center of our government and administration to the city of London.;;;;;;;;;x;;;;;;;;
integrating_philippines_title;Annex the Philippines!;;;;;;;;;;;;x
integrating_philippines_desc;We were victorious in the Philippine War, and the annexation of the Philippine islands to $COUNTRY$ is our reward.;;;;;;;;;;;;x
#################################################################################################################
